,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
0,1,Christian McCaffrey,RB,2021,NYJ@CAR,26.00,0,0,0,21,98,0,0,9,89,0
1,1,Joe Mixon,RB,2021,MIN@CIN,24.00,0,0,0,29,127,0,1,4,23,0
2,1,Jamaal Williams,RB,2021,SF@DET,24.00,0,0,0,9,54,0,1,8,56,0
3,1,D'Andre Swift,RB,2021,SF@DET,23.00,0,0,0,11,39,0,0,8,65,1
4,1,Nick Chubb,RB,2021,CLE@KC,22.00,0,0,0,15,83,1,2,2,18,0
5,1,Dalvin Cook,RB,2021,MIN@CIN,21.00,0,0,0,20,61,1,1,6,43,0
6,1,Melvin Gordon,RB,2021,DEN@NYG,20.00,0,0,0,11,101,0,1,3,17,0
7,1,David Montgomery,RB,2021,CHI@LA,18.00,0,0,0,16,108,0,1,1,10,0
8,1,Alvin Kamara,RB,2021,GB@NO,17.00,0,0,0,20,83,0,0,3,8,1
9,1,Jonathan Taylor,RB,2021,SEA@IND,17.00,0,0,0,17,56,0,0,6,60,0
10,1,Ty'Son Williams,RB,2021,BAL@LV,17.00,0,0,0,9,65,0,1,3,29,0
11,1,Kareem Hunt,RB,2021,CLE@KC,16.00,0,0,0,6,33,0,1,3,28,0
12,1,Josh Jacobs,RB,2021,BAL@LV,16.00,0,0,0,10,34,0,2,1,6,0
13,1,Elijah Mitchell,RB,2021,SF@DET,16.00,0,0,0,19,104,0,1,0,0,0
14,1,Miles Sanders,RB,2021,PHI@ATL,16.00,0,0,0,15,74,0,0,4,39,0
15,1,Darrell Henderson,RB,2021,CHI@LA,15.00,0,0,0,16,70,0,1,1,17,0
16,1,Chase Edmonds,RB,2021,ARI@TEN,14.00,0,0,0,12,63,0,0,4,43,0
17,1,Mark Ingram,RB,2021,JAX@HOU,14.00,0,0,0,26,85,0,1,0,0,0
18,1,Chris Carson,RB,2021,SEA@IND,13.00,0,0,0,16,91,1,0,3,26,0
