,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
341,,Patrick Mahomes,QB,2022,KC@ARI,44.00,360,5,0,3,5,0,0,,,
342,,Josh Allen,QB,2022,BUF@LA,36.00,297,3,2,10,56,0,1,,,
343,,Carson Wentz,QB,2022,JAX@WAS,35.00,313,4,2,6,12,0,0,,,
344,,Justin Herbert,QB,2022,LV@LAC,29.00,279,3,0,4,1,0,0,,,
345,,Lamar Jackson,QB,2022,BAL@NYJ,25.00,213,3,1,6,17,0,0,,,
346,,Jalen Hurts,QB,2022,PHI@DET,24.00,243,0,0,17,90,0,1,,,
347,,Jameis Winston,QB,2022,NO@ATL,24.00,269,2,0,2,9,0,0,,,
348,,Kirk Cousins,QB,2022,GB@MIN,23.00,277,2,0,0,0,0,0,,,
349,,Kyler Murray,QB,2022,KC@ARI,23.00,193,2,0,5,29,0,0,,,
350,,Joe Burrow,QB,2022,PIT@CIN,22.00,338,2,4,6,47,1,0,,,
351,,Ryan Tannehill,QB,2022,NYG@TEN,22.00,266,2,0,2,7,0,0,,,
352,,Daniel Jones,QB,2022,NYG@TEN,20.00,188,2,1,6,25,1,0,,,
353,,Marcus Mariota,QB,2022,NO@ATL,20.00,215,0,0,12,72,1,1,,,
354,,Davis Mills,QB,2022,IND@HOU,20.00,240,2,0,2,-1,1,0,,,
355,,Geno Smith,QB,2022,DEN@SEA,20.00,195,2,0,6,14,0,0,,,
356,,Baker Mayfield,QB,2022,CLE@CAR,19.00,235,1,1,5,6,0,1,,,
357,,Russell Wilson,QB,2022,DEN@SEA,19.00,340,1,0,1,2,0,0,,,
358,,Jared Goff,QB,2022,PHI@DET,18.00,215,2,1,2,9,0,0,,,
359,,Matt Ryan,QB,2022,IND@HOU,18.00,352,1,1,4,12,1,0,,,
360,,Derek Carr,QB,2022,LV@LAC,17.00,295,2,3,0,0,0,0,,,
361,,Justin Fields,QB,2022,SF@CHI,16.00,121,2,1,11,28,0,0,,,
362,,Joe Flacco,QB,2022,BAL@NYJ,16.00,309,1,1,1,0,0,0,,,
363,,Tua Tagovailoa,QB,2022,NE@MIA,16.00,270,1,0,2,0,0,0,,,
364,,Trevor Lawrence,QB,2022,JAX@WAS,15.00,275,1,1,2,4,0,0,,,
365,,Mitchell Trubisky,QB,2022,PIT@CIN,13.00,194,1,0,3,9,0,0,,,
366,,Tom Brady,QB,2022,TB@DAL,12.00,212,1,1,2,-1,0,0,,,
367,,Jacoby Brissett,QB,2022,CLE@CAR,12.00,147,1,0,4,10,0,0,,,
368,,Mac Jones,QB,2022,NE@MIA,11.00,213,1,1,2,0,1,0,,,
369,,Trey Lance,QB,2022,SF@CHI,9.00,164,0,1,13,54,0,0,,,
370,,Matthew Stafford,QB,2022,BUF@LA,9.00,240,1,3,1,2,0,0,,,
371,,Dak Prescott,QB,2022,TB@DAL,4.00,134,0,1,2,11,0,0,,,
372,,Aaron Rodgers,QB,2022,GB@MIN,4.00,195,0,1,1,-1,1,0,,,
373,,Jordan Love,QB,2022,GB@MIN,2.00,65,0,0,0,0,0,0,,,
374,,Trace McSorley,QB,2022,KC@ARI,2.00,12,0,0,3,20,0,0,,,
375,,Cooper Rush,QB,2022,TB@DAL,2.00,64,0,0,0,0,0,0,,,
376,,Jeff Driskel,QB,2022,IND@HOU,0.00,0,0,0,1,5,0,0,,,
377,,Tua Tagovailoa,QB,2022,MIA@BAL,50.00,469,6,2,1,1,0,0,,,
378,,Lamar Jackson,QB,2022,MIA@BAL,47.00,318,3,0,9,119,0,1,,,
379,,Josh Allen,QB,2022,TEN@BUF,37.00,317,4,0,1,10,0,0,,,
380,,Joe Flacco,QB,2022,NYJ@CLE,35.00,307,4,0,2,6,1,0,,,
381,,Jared Goff,QB,2022,WAS@DET,34.00,256,4,0,2,-2,0,0,,,
382,,Jalen Hurts,QB,2022,MIN@PHI,34.00,333,1,1,11,57,0,2,,,
383,,Carson Wentz,QB,2022,WAS@DET,33.00,337,3,1,2,23,0,0,,,
384,,Justin Herbert,QB,2022,LAC@KC,29.00,334,3,1,2,1,0,0,,,
385,,Kyler Murray,QB,2022,ARI@LV,27.00,277,1,1,5,28,0,1,,,
