,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
0,1,Tyreek Hill,WR,2023,MIA@LAC,44.00,0,0,0,0,0,0,0,11,215,2
1,1,Brandon Aiyuk,WR,2023,SF@PIT,32.00,0,0,0,0,0,0,0,8,129,2
2,1,Jakobi Meyers,WR,2023,LV@DEN,29.00,0,0,0,0,0,0,0,9,81,2
3,1,Stefon Diggs,WR,2023,BUF@NYJ,26.00,0,0,0,0,0,0,0,10,102,1
4,1,Kendrick Bourne,WR,2023,PHI@NE,24.00,0,0,0,0,0,0,0,6,64,2
5,1,Justin Jefferson,WR,2023,TB@MIN,24.00,0,0,0,0,0,0,0,9,150,0
6,1,Calvin Ridley,WR,2023,JAX@IND,24.00,0,0,0,0,0,0,0,8,101,1
7,1,Michael Pittman,WR,2023,JAX@IND,23.00,0,0,0,0,0,0,0,8,97,1
8,1,Puka Nacua,WR,2023,LA@SEA,21.00,0,0,0,0,0,0,0,10,119,0
9,1,Chris Olave,WR,2023,TEN@NO,19.00,0,0,0,0,0,0,0,8,112,0
10,1,Rashid Shaheed,WR,2023,TEN@NO,19.00,0,0,0,2,11,1,0,5,89,1
11,1,Amon-Ra St. Brown,WR,2023,DET@KC,19.00,0,0,0,0,0,0,0,6,71,1
12,1,Romeo Doubs,WR,2023,GB@CHI,18.00,0,0,0,0,0,0,0,4,26,2
13,1,Mike Evans,WR,2023,TB@MIN,18.00,0,0,0,0,0,0,0,6,66,1
14,1,Chatarius Atwell,WR,2023,LA@SEA,17.00,0,0,0,0,0,0,0,6,119,0
15,1,DeVonta Smith,WR,2023,PHI@NE,17.00,0,0,0,0,0,0,0,7,47,1
16,1,Jordan Addison,WR,2023,TB@MIN,16.00,0,0,0,0,0,0,0,4,61,1
17,1,Zay Flowers,WR,2023,HOU@BAL,16.00,0,0,0,2,9,0,0,9,78,0
18,1,Zay Jones,WR,2023,JAX@IND,16.00,0,0,0,0,0,0,0,5,55,1
19,1,Darnell Mooney,WR,2023,GB@CHI,15.00,0,0,0,0,0,0,0,4,53,1
20,1,A.J. Brown,WR,2023,PHI@NE,14.00,0,0,0,0,0,0,0,7,79,0
21,1,Nico Collins,WR,2023,HOU@BAL,14.00,0,0,0,0,0,0,0,6,80,0
22,1,Garrett Wilson,WR,2023,BUF@NYJ,14.00,0,0,0,0,0,0,0,5,34,1
23,1,Keenan Allen,WR,2023,MIA@LAC,13.00,0,0,0,2,6,0,0,6,76,0
24,1,River Cracraft,WR,2023,MIA@LAC,13.00,0,0,0,0,0,0,0,3,40,1
25,1,DeAndre Hopkins,WR,2023,TEN@NO,13.00,0,0,0,0,0,0,0,7,65,0
26,1,D.K. Metcalf,WR,2023,LA@SEA,13.00,0,0,0,0,0,0,0,3,47,1
27,1,Courtland Sutton,WR,2023,LV@DEN,13.00,0,0,0,0,0,0,0,4,32,1
28,1,Davante Adams,WR,2023,LV@DEN,12.00,0,0,0,0,0,0,0,6,66,0
29,1,Josh Reynolds,WR,2023,DET@KC,12.00,0,0,0,0,0,0,0,4,80,0
30,1,CeeDee Lamb,WR,2023,DAL@NYG,11.00,0,0,0,0,0,0,0,4,77,0
31,1,Rashee Rice,WR,2023,DET@KC,11.00,0,0,0,1,-3,0,0,3,29,1
32,1,Allen Robinson,WR,2023,SF@PIT,11.00,0,0,0,0,0,0,0,5,64,0
33,1,Michael Thomas,WR,2023,TEN@NO,11.00,0,0,0,0,0,0,0,5,61,0
34,1,Jaylen Waddle,WR,2023,MIA@LAC,11.00,0,0,0,0,0,0,0,4,78,0
35,1,Robert Woods,WR,2023,HOU@BAL,11.00,0,0,0,0,0,0,0,6,57,0
36,1,Chris Godwin,WR,2023,TB@MIN,10.00,0,0,0,0,0,0,0,5,51,0
37,1,Curtis Samuel,WR,2023,ARI@WAS,10.00,0,0,0,1,6,0,0,5,54,0
38,1,Deebo Samuel,WR,2023,SF@PIT,10.00,0,0,0,2,8,0,0,5,55,0
39,1,KaVontae Turpin,WR,2023,DAL@NYG,10.00,0,0,0,3,14,0,1,2,11,0
40,1,Calvin Austin,WR,2023,SF@PIT,9.00,0,0,0,0,0,0,0,6,37,0
41,1,Jahan Dotson,WR,2023,ARI@WAS,9.00,0,0,0,0,0,0,0,5,40,0
42,1,Lil'Jordan Humphrey,WR,2023,LV@DEN,9.00,0,0,0,0,0,0,0,2,11,1
43,1,Nick Westbrook,WR,2023,TEN@NO,9.00,0,0,0,0,0,0,0,4,58,0
44,1,Ja'Marr Chase,WR,2023,CIN@CLE,8.00,0,0,0,1,2,0,0,5,39,0
45,1,Demario Douglas,WR,2023,PHI@NE,8.00,0,0,0,0,0,0,0,4,40,0
46,1,Elijah Moore,WR,2023,CIN@CLE,8.00,0,0,0,2,19,0,0,3,43,0
47,1,Trey Palmer,WR,2023,TB@MIN,8.00,0,0,0,0,0,0,0,2,8,1
48,1,George Pickens,WR,2023,SF@PIT,8.00,0,0,0,0,0,0,0,5,36,0
49,1,Mike Williams,WR,2023,MIA@LAC,8.00,0,0,0,0,0,0,0,4,45,0
50,1,Braxton Berrios,WR,2023,MIA@LAC,7.00,0,0,0,0,0,0,0,3,42,0
51,1,Marquise Brown,WR,2023,ARI@WAS,7.00,0,0,0,1,29,0,0,3,28,0
52,1,Diontae Johnson,WR,2023,SF@PIT,7.00,0,0,0,0,0,0,0,3,48,0
53,1,Rondale Moore,WR,2023,ARI@WAS,7.00,0,0,0,2,12,0,0,3,33,0
54,1,JuJu Smith-Schuster,WR,2023,PHI@NE,7.00,0,0,0,0,0,0,0,4,33,0
55,1,Rashod Bateman,WR,2023,HOU@BAL,6.00,0,0,0,0,0,0,0,3,35,0
56,1,Amari Cooper,WR,2023,CIN@CLE,6.00,0,0,0,0,0,0,0,3,37,0
57,1,Nathaniel Dell,WR,2023,HOU@BAL,6.00,0,0,0,0,0,0,0,3,34,0
58,1,Josh Downs,WR,2023,JAX@IND,6.00,0,0,0,0,0,0,0,3,30,0
59,1,Mack Hollins,WR,2023,CAR@ATL,6.00,0,0,0,0,0,0,0,3,31,0
60,1,Van Jefferson,WR,2023,LA@SEA,6.00,0,0,0,0,0,0,0,4,24,0
61,1,Allen Lazard,WR,2023,BUF@NYJ,6.00,0,0,0,0,0,0,0,2,46,0
62,1,K.J. Osborn,WR,2023,TB@MIN,6.00,0,0,0,0,0,0,0,3,31,0
63,1,Jayden Reed,WR,2023,GB@CHI,6.00,0,0,0,1,-2,0,0,2,48,0
64,1,Marquez Valdes-Scantling,WR,2023,DET@KC,6.00,0,0,0,0,0,0,0,2,48,0
65,1,Justin Watson,WR,2023,DET@KC,6.00,0,0,0,0,0,0,0,2,45,0
66,1,Odell Beckham Jr.,WR,2023,HOU@BAL,5.00,0,0,0,0,0,0,0,2,37,0
67,1,Noah Brown,WR,2023,HOU@BAL,5.00,0,0,0,1,-1,0,0,3,20,0
68,1,Gabriel Davis,WR,2023,BUF@NYJ,5.00,0,0,0,0,0,0,0,2,32,0
69,1,Brandon Johnson,WR,2023,LV@DEN,5.00,0,0,0,0,0,0,0,2,31,0
70,1,Terry McLaurin,WR,2023,ARI@WAS,5.00,0,0,0,0,0,0,0,2,31,0
71,1,Brandin Cooks,WR,2023,DAL@NYG,4.00,0,0,0,0,0,0,0,2,22,0
72,1,Terrace Marshall,WR,2023,CAR@ATL,4.00,0,0,0,0,0,0,0,2,23,0
