Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2019-01-01,16,225,0,1,5,39,0,1,Backup,RegularQB
2020-01-01,0,20,0,0,0,0,0,0,Backup,RegularQB
2023-01-01,0,19,0,0,0,0,0,0,Backup,RegularQB
2019-01-01,322,4002,26,4,46,183,4,1,Really Good,RegularQB
2020-01-01,469,4299,48,5,38,149,2,3,MVP Passer,RegularQB
2021-01-01,394,4115,37,4,33,101,0,3,MVP Passer,RegularQB
2022-01-01,286,3695,26,12,34,94,4,1,Not Very Good,RegularQB
2023-01-01,0,0,0,0,0,0,0,0,Backup,RegularQB
2023-01-01,144,2218,12,7,17,11,2,1,Backup,RegularQB
2020-01-01,79,1582,6,8,10,3,0,0,Backup,RegularQB
2019-01-01,0,1,0,0,0,0,0,0,Backup,RegularQB
2019-01-01,232,3494,16,14,32,73,4,4,Not Very Good,RegularQB
2020-01-01,158,2170,14,8,28,114,1,0,Backup,RegularQB
2021-01-01,96,1515,8,9,16,76,1,0,Backup,RegularQB
2022-01-01,204,2871,18,9,30,54,1,0,Game Manager,RegularQB
2023-01-01,27,361,2,0,3,12,0,0,Backup,RegularQB
2022-01-01,6,302,0,2,3,-5,1,0,Backup,RegularQB
2023-01-01,76,577,3,1,25,136,1,4,Backup,RegularQB
2022-01-01,51,781,5,3,10,0,3,0,Backup,RegularQB
2023-01-01,76,1272,6,9,17,83,1,1,Backup,RegularQB
2019-01-01,262,3827,22,21,28,141,2,3,Solid,RegularQB
2020-01-01,288,3563,26,8,54,165,4,1,Game Manager,RegularQB
2021-01-01,205,3010,17,13,37,134,3,1,Not Very Good,RegularQB
2022-01-01,134,2163,10,8,31,89,2,1,Backup,RegularQB
2023-01-01,319,4044,28,10,62,163,3,1,Really Good,RegularQB
2020-01-01,8,219,0,0,6,22,2,0,Backup,RegularQB
2019-01-01,12,351,0,1,1,7,0,0,Backup,RegularQB
2020-01-01,326,3803,33,10,25,11,1,0,Really Good,RegularQB
2021-01-01,258,3740,22,10,20,5,5,1,Game Manager,RegularQB
2020-01-01,18,143,2,0,9,16,0,0,Backup,RegularQB
2021-01-01,1,67,0,0,9,-7,0,0,Backup,RegularQB
2022-01-01,7,29,1,0,0,0,0,0,Backup,RegularQB
2023-01-01,5,185,0,3,7,45,0,0,Backup,RegularQB
2019-01-01,0,3,0,0,2,-9,0,0,Backup,RegularQB
2019-01-01,35,515,3,2,10,39,0,0,Backup,RegularQB
2020-01-01,56,925,5,4,13,27,1,0,Backup,RegularQB
2021-01-01,17,149,2,0,7,-1,0,0,Backup,RegularQB
2022-01-01,0,22,0,0,3,-1,0,0,Backup,RegularQB
2019-01-01,4,49,0,0,7,41,0,0,Backup,RegularQB
2020-01-01,15,295,2,4,5,-5,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,0,0,0,0,Backup,RegularQB
2022-01-01,20,483,2,4,6,7,1,0,Backup,RegularQB
2023-01-01,4,172,0,1,3,19,1,0,Backup,RegularQB
2019-01-01,29,372,4,4,8,2,1,0,Backup,RegularQB
2020-01-01,2,130,0,1,1,8,1,0,Backup,RegularQB
2021-01-01,14,227,1,0,11,-8,0,0,Backup,RegularQB
2022-01-01,1,37,0,0,0,0,0,0,Backup,RegularQB
2023-01-01,5,231,0,2,3,-3,0,0,Backup,RegularQB
2022-01-01,128,1374,13,4,22,13,0,1,Backup,RegularQB
2023-01-01,347,4280,31,11,39,144,2,2,High Volume,RegularQB
2022-01-01,15,161,1,2,19,90,0,0,Backup,RegularQB
2023-01-01,170,2877,11,10,39,253,6,0,Game Manager,RegularQB
2020-01-01,64,787,6,0,6,28,3,0,Backup,RegularQB
2021-01-01,1,33,0,0,1,2,0,0,Backup,RegularQB
2022-01-01,-1,35,0,1,4,-4,0,0,Backup,RegularQB
2023-01-01,20,349,1,0,8,35,0,0,Backup,RegularQB
2023-01-01,314,4108,23,5,39,167,4,3,Solid,RegularQB
2019-01-01,18,572,0,1,5,-2,2,0,Backup,RegularQB
2020-01-01,258,2657,8,10,137,592,1,12,Did not play many games,Dual Threat
2021-01-01,90,684,4,5,47,230,1,5,Backup,RedZone Threat
2019-01-01,322,4039,27,7,62,243,7,1,Really Good,RegularQB
2020-01-01,223,2620,16,15,52,276,4,5,Not Very Good,RedZone Threat
2021-01-01,304,3563,27,7,57,215,5,1,Game Manager,RegularQB
2022-01-01,128,1755,11,9,22,86,1,1,Backup,RegularQB
2023-01-01,29,163,2,1,17,56,0,1,Backup,RegularQB
2019-01-01,125,1707,11,5,9,12,3,1,Backup,RegularQB
2020-01-01,1,46,0,0,0,0,0,0,Backup,RegularQB
2021-01-01,33,462,3,1,12,22,1,0,Backup,RegularQB
2022-01-01,0,8,0,0,5,0,0,0,Backup,RegularQB
2023-01-01,11,291,1,3,2,1,0,0,Backup,RegularQB
2020-01-01,26,248,2,0,7,-2,0,1,Backup,RegularQB
2021-01-01,3,82,0,0,8,0,0,0,Backup,RegularQB
2022-01-01,0,0,0,0,5,-5,0,0,Backup,RegularQB
2019-01-01,30,435,3,2,6,6,0,0,Backup,RegularQB
2020-01-01,12,264,1,2,2,16,0,0,Backup,RegularQB
2021-01-01,0,0,0,0,2,-2,0,0,Backup,RegularQB
2022-01-01,10,52,1,0,1,4,0,0,Backup,RegularQB
2020-01-01,9,105,1,1,4,15,0,0,Backup,RegularQB
2021-01-01,1,36,0,0,3,6,0,0,Backup,RegularQB
2022-01-01,8,90,0,0,9,54,0,0,Backup,RegularQB
2023-01-01,7,62,0,2,8,30,1,1,Backup,RegularQB
2019-01-01,3,122,0,1,2,14,0,0,Backup,RegularQB
2020-01-01,18,375,1,1,9,12,1,0,Backup,RegularQB
2021-01-01,46,740,3,1,22,37,1,0,Backup,RegularQB
2022-01-01,31,780,1,3,14,36,0,0,Backup,RegularQB
2021-01-01,30,422,3,1,9,-8,1,0,Backup,RegularQB
2022-01-01,63,1051,5,3,9,6,0,0,Backup,RegularQB
2023-01-01,1,144,0,1,12,-5,0,0,Backup,RegularQB
2019-01-01,385,4902,30,11,52,277,2,3,High Volume,RegularQB
2020-01-01,152,1856,9,4,18,93,3,3,Backup,RegularQB
