Id,Player,Position,Year,School,RAS Score,All Time Score
0,Name,Pos,Year,College,RAS,AllTime
1,Adrian White,SS,1987,Florida,0,0
2,Al Smith,LB,1987,Utah State,6.45,4.55
3,Albert Bell,WR,1987,Alabama,0.26,0.49
4,Albert Reese,TE,1987,Southern Methodist,2.35,1.54
5,Alex Gordon,LB,1987,Cincinnati,1.94,2.66
6,Alfred Jenkins,RB,1987,Arizona,6.09,2.74
7,Alonzo Highsmith,FB,1987,Miami,0,0
8,Alonzo Williams,RB,1987,Mesa,0,0
9,Alvin Blount,WR,1987,Eastern Kentucky,7.37,4.74
10,Anthony Anderson,CB,1987,Grambling State,1.05,1.64
11,Archie Harris,OT,1987,William & Mary,7.89,7.78
12,Arthur Wells,TE,1987,Grambling State,0.59,1.04
13,Ben Tamburello,OC,1987,Auburn,5,6.94
14,Bill Berthusen,DT,1987,Iowa State,0,0
15,Bill Ransdell,QB,1987,Kentucky,4.62,1.9
16,Bill Smith,PK,1987,Mississippi,0,0
17,Bo Jackson,RB,1987,Auburn,0,0
18,Bob Ontko,LB,1987,Penn State,4.52,4.32
19,Bob Perryman,FB,1987,Michigan,6,2.25
20,Bob Riley,OT,1987,Indiana,8.95,5.22
21,Bob White,LB,1987,Penn State,0,0
22,Bobby Morse,RB,1987,Michigan State,4.78,2.15
23,Bobby Taylor,SS,1987,Notre Dame,0,0
24,Bobby White,DT,1987,Penn State,7.14,6.68
25,Brent Fullwood,RB,1987,Auburn,0,0
26,Brent Pease,QB,1987,Montana,0,0
27,Brian Bosworth,LB,1987,Oklahoma,0,0
28,Brian Davis,CB,1987,Nebraska,9.47,7.29
29,Brian Siverling,TE,1987,Penn State,1.76,1.6
30,Brian Williams,OT,1987,Central Michigan,1.58,0.42
31,Bruce Armstrong,OT,1987,Louisville,9.47,5.09
32,Bruce Hill,WR,1987,Arizona State,5,4.04
33,Bruce Holmes,LB,1987,Minnesota,0.65,0.95
34,Bruce Mesner,DT,1987,Maryland,0,0
35,Bruce Plummer,SS,1987,Mississippi State,10,6.54
36,Bruce Wilkerson,OT,1987,Tennessee,0,0
37,Byron Evans,LB,1987,Arizona,4.19,3.19
38,Calvin Nicholas,WR,1987,Grambling State,6.32,4.26
39,Carl Woods,RB,1987,Vanderbilt,2.61,2.13
40,Carlos Reveiz,PK,1987,Tennessee,0,0
41,Chad Stark,RB,1987,North Dakota State,0,0
42,Charles Buchanan,DE,1987,Tennessee State,0,0
43,Charles Faucette,LB,1987,Maryland,3.55,2.93
44,Charles Glaze,SS,1987,South Carolina State,5,4.35
