Id,Name,Position,Year,School,RASScore,AllTimeScore
0,Gardner Minshew,QB,2019,Washington State,5.93,5.87
1,Kyle Shurmur,QB,2019,Vanderbilt,4.24,4.19
2,Taylor Cornelius,QB,2019,Oklahoma State,9.74,9.77
3,Dwayne Haskins,QB,2019,Ohio State,3.47,3.37
4,Nico Evans,RB,2019,Wyoming,5.67,5.87
5,Miles Brown,DT,2019,Wofford,1.85,2.12
6,Charles Jones II,TE,2019,Tulane,3.67,3.73
7,Izzy Matthews,RB,2019,Colorado State,3.3,3.59
8,Ryan Fulse,RB,2019,Wagner,4.98,5.14
9,D.J. Knox,RB,2019,Purdue,0.77,0.95
10,Matt Colburn II,RB,2019,Wake Forest,6.65,6.77
11,A.J. Oullette,RB,2019,Ohio,9.18,9.19
12,Tom Kennedy,WR,2019,Bryant,8.5,8.59
13,Jeremy Hickey,OG,2019,Eastern Michigan,4.31,4.59
14,DK Metcalf,WR,2019,Mississippi,9.66,9.68
15,N'Keal Harry,WR,2019,Arizona State,8.44,8.62
16,Kelvin Harmon,WR,2019,North Carolina State,4.88,5.14
17,A.J. Brown,WR,2019,Mississippi,8.59,8.78
18,Anthony Ratliff-Williams,WR,2019,North Carolina,7.08,7.36
19,Jazz Ferguson,WR,2019,Northwestern State,7.32,7.34
20,Kerrith Whyte Jr.,RB,2019,Florida Atlantic,8.57,8.7
21,Jamal Custis,WR,2019,Syracuse,6.47,6.67
22,Matthew Eaton,WR,2019,Iowa State,5.31,5.61
23,RonQuavion Tarver,WR,2019,Utah State,4.77,4.9
24,Andrew Beck,TE,2019,Texas,8.8,8.85
25,Caleb Wilson,TE,2019,UCLA,5.71,5.66
26,Bryson Allen-Williams,LB,2019,South Carolina,0.68,0.99
27,B.J. Autry,OG,2019,Jacksonville State,0,0
28,Christian Miller,LB,2019,Alabama,6.83,7.08
29,Kendall Blanton,TE,2019,Missouri,5.26,5.29
30,Ravian Pierce,TE,2019,Syracuse,4.52,4.56
31,Dereck Boles,DT,2019,Arizona,0,0
32,Donovan Wilson,FS,2019,Texas A&M,6.98,7.52
33,Edwin Alexander,DT,2019,Louisiana State,1.97,2.15
34,Stephen Denmark,CB,2019,Valdosta State,9.35,9.37
35,Wes Sutton,FS,2019,North Arizona,1.8,2.3
36,Dawson Knox,TE,2019,Mississippi,9.25,9.37
37,Iman Marshall,CB,2019,Southern California,5.22,5.52
38,Greedy Williams,CB,2019,Louisiana State,8.5,8.41
39,Irv Smith,TE,2019,Alabama,4.78,4.83
40,Andrew Van Ginkel,DE,2019,Wisconsin,9.26,9.24
41,Jonathan Lockett,CB,2019,Southern California,0.23,0.36
42,Kaden Smith,TE,2019,Stanford,3.82,3.96
43,T.J. Hockenson,TE,2019,Iowa,9.19,9.29
44,Byron Murphy,CB,2019,Washington,6.41,6.62
45,Xavier Crawford,CB,2019,Central Michigan,4.68,4.93
46,Tyler Sigler,FS,2019,Wheaton,7.78,7.92
47,Jachai Polite,DE,2019,Florida,1.74,1.93
48,Kano Dillon,TE,2019,Oregon,8.43,8.55
49,Nick Fitzgerald,QB,2019,Mississippi State,7.57,7.6
50,Nick Watkins,CB,2019,Notre Dame,6.31,6.54
51,Charles Holland,WR,2019,Tiffin,7.18,7.46
52,Alex Fontana,OC,2019,Kansas,6.14,6.11
53,Cole Conrad,OC,2019,Nebraska,5.32,5.23
54,Nick Linder,OC,2019,Indiana,0,0
55,Dakota Tallman,OC,2019,Eastern Michigan,1.93,1.97
56,George Rushing,WR,2019,Buffalo,1.46,1.74
57,Amani Bledsoe,DE,2019,Oklahoma,5.05,5.26
58,Terrence Alexander,CB,2019,Louisiana State,1.29,1.56
59,Tim Harris,CB,2019,Virginia,8.9,8.96
60,Neal Mars,OC,2019,Florida International,0,0
61,Tomarcio Reece,LB,2019,Georgia Southern,4.59,4.76
62,C.J. Fritz,CB,2019,Chattanooga,1.04,1.26
63,Sidney Malauulu,DT,2019,Wyoming,5.28,5.48
64,Renell Wren,DT,2019,Arizona State,9.73,9.77
65,Drew Lock,QB,2019,Missouri,9.37,9.32
66,Sean Bunting,CB,2019,Central Michigan,9.64,9.64
67,Ryan Finley,QB,2019,North Carolina State,7.82,7.94
68,Clayton Thorson,QB,2019,Northwestern,0,0
69,Trace McSorley,QB,2019,Penn State,8.29,8.37
70,Brett Rypien,QB,2019,Boise State,5.74,5.8
71,Justice Hansen,QB,2019,Arkansas State,3,2.95
72,Jake Browning,QB,2019,Washington,5.7,5.72
73,Will Grier,QB,2019,West Virginia,7.19,7.27
74,Tanner Mangum,QB,2019,Brigham Young,3.88,3.92
75,Andrew Ford,QB,2019,Massachusetts,0,0
76,Kyle Kempt,QB,2019,Iowa State,3.94,3.94
77,Malik Rosier,QB,2019,Miami,2.31,2.27
78,Wilton Speight,QB,2019,UCLA,0,0
79,JaJuan Lawson,QB,2019,Rhode Island,6.75,6.76
80,Manny Wilkins,QB,2019,Arizona State,6.25,6.11
81,David Blough,QB,2019,Purdue,2.76,2.77
82,Easton Stick,QB,2019,North Dakota State,9.46,9.49
83,Eric Dungey,QB,2019,Syracuse,7.58,7.66
84,Marcus McMaryion,QB,2019,Fresno State,6.71,6.66
85,Keller Chryst,QB,2019,Tennessee,8.03,8.12
86,Gage Gubrud,QB,2019,Eastern Washington,0,0
87,Jalan McClendon,QB,2019,North Carolina State,8.06,8.19
88,Jacob Park,QB,2019,Iowa State,0,0
89,Lamar Raynard,QB,2019,North Carolina A&T,6.52,6.54
90,Devlin Hodges,QB,2019,Samford,3.4,3.38
91,Ty Gangi,QB,2019,Nevada,0,0
92,Raelon Singleton,WR,2019,Houston,7.97,8.16
93,Brent Stockstill,QB,2019,Middle Tennessee State,2.65,2.52
