,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
0,1,Amari Cooper,WR,2021,DAL@TB,38.00,0,0,0,0,0,0,0,13,139,2
1,1,Tyreek Hill,WR,2021,CLE@KC,36.00,0,0,0,1,4,0,0,11,197,1
2,1,Deebo Samuel,WR,2021,SF@DET,32.00,0,0,0,0,0,1,0,9,189,1
3,1,Adam Thielen,WR,2021,MIN@CIN,30.00,0,0,0,0,0,0,0,9,92,2
4,1,Corey Davis,WR,2021,NYJ@CAR,26.00,0,0,0,0,0,0,0,5,97,2
5,1,DeAndre Hopkins,WR,2021,ARI@TEN,26.00,0,0,0,0,0,0,0,6,83,2
6,1,Tyler Lockett,WR,2021,SEA@IND,26.00,0,0,0,0,0,0,0,4,100,2
7,1,Chris Godwin,WR,2021,DAL@TB,24.00,0,0,0,0,0,1,0,9,105,1
8,1,Christian Kirk,WR,2021,ARI@TEN,24.00,0,0,0,0,0,0,0,5,70,2
9,1,Sterling Shepard,WR,2021,DEN@NYG,24.00,0,0,0,0,0,0,0,7,113,1
10,1,Antonio Brown,WR,2021,DAL@TB,23.00,0,0,0,1,6,0,0,5,121,1
11,1,Cooper Kupp,WR,2021,CHI@LA,23.00,0,0,0,0,0,0,0,7,108,1
12,1,CeeDee Lamb,WR,2021,DAL@TB,23.00,0,0,0,0,0,0,0,7,104,1
13,1,Mike Williams,WR,2021,LAC@WAS,22.00,0,0,0,0,0,0,0,8,82,1
14,1,Ja'Marr Chase,WR,2021,MIN@CIN,21.00,0,0,0,1,-2,0,0,5,101,1
15,1,Zach Pascal,WR,2021,SEA@IND,20.00,0,0,0,0,0,0,0,4,43,2
16,1,Keenan Allen,WR,2021,LAC@WAS,19.00,0,0,0,0,0,0,0,9,100,0
17,1,Jarvis Landry,WR,2021,CLE@KC,19.00,0,0,0,2,13,0,1,5,71,0
18,1,DeVonta Smith,WR,2021,PHI@ATL,19.00,0,0,0,0,0,0,0,6,71,1
19,1,Nelson Agholor,WR,2021,MIA@NE,18.00,0,0,0,0,0,0,0,5,72,1
20,1,Marquise Brown,WR,2021,BAL@LV,18.00,0,0,0,1,5,0,0,6,69,1
21,1,Brandin Cooks,WR,2021,JAX@HOU,18.00,0,0,0,0,0,0,0,5,132,0
22,1,Marvin Jones,WR,2021,JAX@HOU,18.00,0,0,0,0,0,0,0,5,77,1
23,1,D.J. Chark,WR,2021,JAX@HOU,17.00,0,0,0,0,0,0,0,3,86,1
24,1,Van Jefferson,WR,2021,CHI@LA,16.00,0,0,0,0,0,0,0,2,80,1
25,1,D.K. Metcalf,WR,2021,SEA@IND,16.00,0,0,0,0,0,0,0,4,60,1
26,1,Jalen Reagor,WR,2021,PHI@ATL,16.00,0,0,0,0,0,0,0,6,49,1
27,1,Jaylen Waddle,WR,2021,MIA@NE,16.00,0,0,0,0,0,0,0,4,61,1
28,1,Stefon Diggs,WR,2021,PIT@BUF,15.00,0,0,0,0,0,0,0,9,69,0
29,1,Deonte Harty,WR,2021,GB@NO,15.00,0,0,0,0,0,0,0,2,72,1
30,1,Tee Higgins,WR,2021,MIN@CIN,15.00,0,0,0,0,0,0,0,4,58,1
31,1,D.J. Moore,WR,2021,NYJ@CAR,15.00,0,0,0,1,14,0,0,6,80,0
32,1,Danny Amendola,WR,2021,JAX@HOU,14.00,0,0,0,0,0,0,0,5,34,1
33,1,Cole Beasley,WR,2021,PIT@BUF,14.00,0,0,0,0,0,0,0,8,60,0
34,1,A.J. Brown,WR,2021,ARI@TEN,14.00,0,0,0,0,0,0,0,4,49,1
35,1,Diontae Johnson,WR,2021,PIT@BUF,14.00,0,0,0,0,0,0,0,5,36,1
36,1,K.J. Osborn,WR,2021,MIN@CIN,14.00,0,0,0,0,0,0,0,7,76,0
37,1,Jerry Jeudy,WR,2021,DEN@NYG,13.00,0,0,0,0,0,0,0,6,72,0
38,1,Tim Patrick,WR,2021,DEN@NYG,13.00,0,0,0,0,0,0,0,4,39,1
39,1,Hunter Renfrow,WR,2021,BAL@LV,13.00,0,0,0,0,0,0,0,6,70,0
40,1,Sammy Watkins,WR,2021,BAL@LV,13.00,0,0,0,0,0,0,0,4,96,0
41,1,Quintez Cephus,WR,2021,SF@DET,12.00,0,0,0,0,0,0,0,3,12,1
42,1,Robbie Chosen,WR,2021,NYJ@CAR,12.00,0,0,0,0,0,0,0,1,57,1
43,1,Gabriel Davis,WR,2021,PIT@BUF,12.00,0,0,0,0,0,0,0,2,40,1
44,1,Bryan Edwards,WR,2021,BAL@LV,12.00,0,0,0,0,0,0,0,4,81,0
